Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
5.361305361305361,84,Low,High,No,49,73,Low,Yes,0.0,Low,Medium,Public,Positive,3,No,High School,Near,Male,67
4.428904428904429,64,Low,Medium,No,56,59,Low,Yes,0.4662004662004662,Medium,Medium,Public,Negative,4,No,College,Moderate,Female,61
5.594405594405594,98,Medium,Medium,Yes,49,91,Medium,Yes,0.4662004662004662,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,74
6.75990675990676,89,Low,Medium,Yes,56,98,Medium,Yes,0.2331002331002331,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,71
4.428904428904429,92,Medium,Medium,Yes,42,65,Medium,Yes,0.6993006993006993,Medium,High,Public,Neutral,4,No,College,Near,Female,70
4.428904428904429,88,Medium,Medium,Yes,56,89,Medium,Yes,0.6993006993006993,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Male,71
6.75990675990676,84,Medium,Low,Yes,49,68,Low,Yes,0.2331002331002331,Low,Medium,Private,Neutral,2,No,High School,Moderate,Male,67
5.827505827505828,78,Low,High,Yes,42,50,Medium,Yes,0.2331002331002331,High,High,Public,Negative,2,No,High School,Far,Male,66
3.9627039627039626,94,Medium,High,No,42,80,High,Yes,0.0,Medium,Low,Private,Neutral,1,No,College,Near,Male,69
5.361305361305361,98,Medium,Medium,Yes,56,71,Medium,Yes,0.0,High,High,Public,Positive,5,No,High School,Moderate,Male,72
3.9627039627039626,80,Low,High,No,56,88,Medium,No,0.9324009324009324,Medium,High,Private,Neutral,4,No,College,Moderate,Male,68
3.9627039627039626,97,Medium,High,Yes,42,87,Low,Yes,0.4662004662004662,Low,High,Private,Neutral,2,No,High School,Near,Male,71
4.895104895104895,83,Medium,Medium,Yes,56,97,Low,Yes,0.4662004662004662,Medium,Medium,Public,Positive,4,No,High School,Near,Male,70
2.097902097902098,82,Medium,Medium,Yes,56,72,Medium,Yes,0.4662004662004662,Medium,Medium,Private,Positive,3,No,Postgraduate,Near,Male,66
2.331002331002331,78,Medium,High,Yes,56,74,Medium,Yes,0.2331002331002331,Low,Medium,Private,Neutral,4,No,Postgraduate,Near,Male,65
3.9627039627039626,68,Medium,Medium,No,56,70,Medium,Yes,0.4662004662004662,Medium,Medium,Private,Positive,4,No,High School,Near,Female,64
3.2634032634032635,60,Medium,Low,Yes,70,65,Low,Yes,0.0,High,Medium,Private,Positive,3,No,College,Near,Male,60
5.128205128205128,70,Low,Medium,Yes,42,82,Medium,Yes,0.2331002331002331,Low,High,Public,Neutral,3,No,High School,Near,Female,65
3.4965034965034967,80,Medium,Medium,Yes,63,91,Low,Yes,0.6993006993006993,Low,Medium,Public,Positive,2,No,College,Moderate,Female,67
2.797202797202797,75,Medium,High,Yes,49,58,Medium,Yes,0.6993006993006993,Medium,Medium,Private,Positive,4,No,College,Near,Male,66
6.75990675990676,78,Medium,Medium,No,35,99,High,Yes,0.0,High,Medium,Public,Negative,1,No,High School,Moderate,Female,69
4.428904428904429,99,Medium,High,No,42,84,Medium,Yes,0.2331002331002331,Medium,High,Public,Neutral,3,No,High School,Near,Male,72
4.662004662004662,74,Medium,High,No,56,89,Low,Yes,0.2331002331002331,Medium,Medium,Public,Negative,2,No,College,Moderate,Female,66
2.564102564102564,78,High,Medium,Yes,56,100,High,Yes,0.2331002331002331,Low,Medium,Public,Neutral,3,No,High School,Moderate,Male,66
3.9627039627039626,65,Low,High,Yes,35,75,Medium,Yes,0.4662004662004662,Low,Medium,Public,Positive,3,No,High School,Near,Female,63
4.895104895104895,62,High,Low,Yes,42,54,High,Yes,0.0,High,High,Public,Positive,3,No,Postgraduate,Far,Male,64
3.0303030303030303,91,Low,Medium,No,42,90,Medium,Yes,0.2331002331002331,High,Medium,Public,Negative,2,Yes,High School,Moderate,Female,65
5.128205128205128,83,High,High,Yes,42,94,Medium,Yes,0.0,High,Medium,Public,Neutral,2,No,College,Moderate,Male,71
3.7296037296037294,90,Medium,Medium,No,28,58,Medium,Yes,0.2331002331002331,Low,Medium,Public,Neutral,3,No,High School,Moderate,Female,66
4.195804195804196,66,High,High,No,28,51,Low,Yes,0.4662004662004662,Low,Medium,Private,Neutral,2,No,College,Near,Male,64
3.7296037296037294,83,Low,Medium,No,42,57,Medium,Yes,0.0,High,Low,Public,Positive,4,Yes,High School,Near,Female,63
